DBCODE,ENTITY,COMPLEX,MEADOW,PLOT_ID,YEAR,SAMPLEDATE,WATCH,OBSERVER,PLOT,FLW_STATUS,PLTSP_CODE,PLTSP_NAME,NO_STALK,NO_FLWS
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-07-20,1,"ND",1,NOF,"","",,
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-07-25,2,"Andy",1,FLW,"ACHIMILL","Achillea millefolium",4,36.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-07-25,2,"Andy",1,FLW,"ERIGFOLI","Erigeron foliosus",14,1.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-07-25,2,"Andy",1,FLW,"VICIAMER","Vicia americana",3,2.3
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"Andy, Tim",1,FLW,"ACHIMILL","Achillea millefolium",2,26.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"Andy, Tim",1,FLW,"ERIGFOLI","Erigeron foliosus",40,1.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"Andy, Tim",1,FLW,"LUPILAXI","Lupinus laxiflorus",1,7.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"Andy, Tim",1,FLW,"ORTHIMBR","Orthocarpus imbricatus",1,1.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"Andy, Tim",1,FLW,"VICIAMER","Vicia americana",10,1.7
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-15,4,"Vera",1,FLW,"ACHIMILL","Achillea millefolium",16,39.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-15,4,"Vera",1,FLW,"CIRSCALL","Cirsium callilepis",1,2.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-15,4,"Vera",1,FLW,"ERIGFOLI","Erigeron foliosus",71,1.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-15,4,"Vera",1,FLW,"HIERCYNO","Hieracium cynoglossoides",2,1.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-15,4,"Vera",1,FLW,"ORTHIMBR","Orthocarpus imbricatus",96,5.0
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-22,5,"Vera",1,NOF,"","",,
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-09-12,6,"Vera",1,NOF,"","",,
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,FLW,"FRAGVIRG","Fragaria virginiana",26,1.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,FLW,"IRISCHRY","Iris chrysophylla",5,1.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-07-12,2,"Brian/Andy",1,FLW,"ACHIMILL","Achillea millefolium",1,65.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-07-12,2,"Brian/Andy",1,FLW,"CALOSUBA","Calochortus subalpinus",1,1.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-07-12,2,"Brian/Andy",1,FLW,"PHACHAST","Phacelia hastata",1,5.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-07-12,2,"Brian/Andy",1,FLW,"VICIAMER","Vicia americana",2,1.3
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,FLW,"ACHIMILL","Achillea millefolium",12,67.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,FLW,"ERIGFOLI","Erigeron foliosus",38,1.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,FLW,"GALIOREG","Galium oreganum",18,6.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,FLW,"PHACHAST","Phacelia hastata",8,8.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,FLW,"SYMPMOLL","Symphoricarpos mollis",13,10.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"ACHIMILL","Achillea millefolium",12,58.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"AGOSAURA","Agoseris aurantiaca",11,2.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"ASTELEDO","Aster ledophyllus",2,1.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"CAMPSCOU","Campanula scouleri",39,2.5
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"CIRSCALL","Cirsium callilepis",2,2.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"ERIGFOLI","Erigeron foliosus",14,1.3
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-14,5,"Andy",1,FLW,"ACHIMILL","Achillea millefolium",9,32.0
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-14,5,"Andy",1,FLW,"AGOSAURA","Agoseris aurantiaca",1,1.0
